iter	Passed	Remaining
702	3904	1649
703	3909	1643
704	3914	1638
705	3920	1632
706	3925	1626
707	3931	1621
708	3937	1615
709	3943	1610
710	3948	1604
711	3953	1599
712	3959	1593
713	3964	1588
714	3969	1582
715	3975	1576
716	3980	1571
717	3986	1565
718	3991	1559
719	3996	1554
720	4002	1548
721	4007	1543
722	4012	1537
723	4018	1532
724	4024	1526
725	4029	1520
726	4035	1515
727	4040	1509
728	4047	1504
729	4053	1499
730	4060	1494
731	4066	1488
732	4072	1483
733	4077	1477
734	4083	1472
735	4088	1466
736	4093	1460
737	4099	1455
738	4104	1449
739	4110	1444
740	4115	1438
741	4120	1432
742	4126	1427
743	4131	1421
744	4137	1416
745	4142	1410
746	4148	1404
747	4153	1399
748	4159	1393
749	4164	1388
750	4169	1382
751	4175	1376
752	4180	1371
753	4186	1365
754	4192	1360
755	4197	1354
756	4203	1349
757	4208	1343
758	4213	1337
759	4219	1332
760	4224	1326
761	4230	1321
762	4235	1315
763	4240	1310
764	4246	1304
765	4251	1298
766	4256	1293
767	4262	1287
768	4267	1281
769	4273	1276
770	4278	1270
771	4283	1265
772	4289	1259
773	4294	1253
774	4299	1248
775	4305	1242
776	4311	1237
777	4317	1231
778	4322	1226
779	4327	1220
780	4333	1215
781	4338	1209
782	4344	1203
783	4349	1198
784	4354	1192
785	4360	1187
786	4365	1181
787	4370	1175
788	4376	1170
789	4381	1164
790	4386	1159
791	4392	1153
792	4397	1147
793	4402	1142
794	4407	1136
795	4413	1131
796	4418	1125
797	4424	1119
798	4429	1114
799	4435	1108
800	4440	1103
801	4446	1097
802	4451	1092
803	4456	1086
804	4462	1080
805	4467	1075
806	4473	1069
807	4478	1064
808	4483	1058
809	4489	1053
810	4494	1047
811	4500	1041
812	4506	1036
813	4511	1030
814	4517	1025
815	4522	1019
816	4527	1014
817	4533	1008
818	4538	1003
819	4544	997
820	4549	991
821	4555	986
822	4560	980
823	4566	975
824	4571	969
825	4577	964
826	4582	958
827	4588	953
828	4593	947
829	4599	941
830	4604	936
831	4609	930
832	4615	925
833	4620	919
834	4626	914
835	4631	908
836	4636	903
837	4642	897
838	4647	891
839	4653	886
840	4658	880
841	4664	875
842	4669	869
843	4674	864
844	4680	858
845	4685	852
846	4690	847
847	4696	841
848	4701	836
849	4707	830
850	4712	825
851	4717	819
852	4723	813
853	4728	808
854	4733	802
855	4739	797
856	4745	791
857	4750	786
858	4755	780
859	4761	775
860	4766	769
861	4772	763
862	4777	758
863	4783	752
864	4788	747
865	4794	741
866	4800	736
867	4805	730
868	4811	725
869	4816	719
870	4821	714
871	4827	708
872	4832	703
873	4837	697
874	4843	691
875	4849	686
876	4854	680
877	4860	675
878	4865	669
879	4870	664
880	4875	658
881	4881	653
882	4886	647
883	4891	641
884	4897	636
885	4902	630
886	4908	625
887	4913	619
888	4918	614
889	4924	608
890	4929	603
891	4934	597
892	4940	591
893	4945	586
894	4950	580
895	4956	575
896	4961	569
897	4967	564
898	4972	558
899	4978	553
900	4983	547
901	4988	542
902	4994	536
903	4999	530
904	5005	525
905	5011	519
906	5016	514
907	5022	508
908	5027	503
909	5032	497
910	5039	492
911	5046	486
912	5051	481
913	5057	475
914	5062	470
915	5070	464
916	5075	459
917	5080	453
918	5086	448
919	5091	442
920	5096	437
921	5102	431
922	5107	426
923	5112	420
924	5117	414
925	5123	409
926	5128	403
927	5133	398
928	5139	392
929	5145	387
930	5150	381
931	5156	376
932	5161	370
933	5167	365
934	5172	359
935	5178	354
936	5183	348
937	5189	342
938	5194	337
939	5199	331
940	5205	326
941	5210	320
942	5216	315
943	5221	309
944	5226	304
945	5231	298
946	5237	293
947	5242	287
948	5247	282
949	5253	276
950	5258	270
951	5264	265
952	5269	259
953	5274	254
954	5280	248
955	5285	243
956	5293	237
957	5298	232
958	5303	226
959	5309	221
960	5314	215
961	5319	210
962	5325	204
963	5330	199
964	5335	193
965	5341	188
966	5346	182
967	5352	176
968	5357	171
969	5363	165
970	5368	160
971	5373	154
972	5379	149
973	5384	143
974	5390	138
975	5395	132
976	5401	127
977	5407	121
978	5413	116
979	5418	110
980	5424	105
981	5429	99
982	5435	93
983	5441	88
984	5446	82
985	5452	77
986	5458	71
987	5463	66
988	5469	60
989	5475	55
990	5483	49
991	5489	44
992	5495	38
993	5500	33
994	5506	27
995	5511	22
996	5517	16
997	5522	11
998	5528	5
999	5534	0
